repo_name,act_type,isbot,date_month,activity
padosoft/laravel-test,CODE,0,2016-01,20
padosoft/laravel-test,CODE,0,2016-02,5
padosoft/laravel-test,CODE,0,2016-08,5
padosoft/laravel-uploadable,CODE,0,2016-08,6
padosoft/laravel-uploadable,NON_CODE,0,2016-08,2
padosoft/laravel-uploadable,CODE,0,2016-09,11
padosoft/laravel-uploadable,CODE,0,2017-01,1
padosoft/laravel-uploadable,CODE,0,2017-03,1
padosoft/laravel-uploadable,NON_CODE,0,2017-03,2
padosoft/laravel-uploadable,CODE,0,2018-10,4
padosoft/laravel-uploadable,CODE,0,2019-04,2
padosoft/laravel-uploadable,CODE,0,2019-06,1
padosoft/laravel-uploadable,NON_CODE,0,2020-01,1
padosoft/laravel-uploadable,CODE,0,2020-03,1
padosoft/laravel-uploadable,CODE,1,2020-03,1
padosoft/laravel-uploadable,NON_CODE,0,2020-03,1
padosoft/laravel-uploadable,CODE,1,2020-09,1
padosoft/laravel-uploadable,CODE,0,2020-10,1
padosoft/laravel-uploadable,NON_CODE,1,2020-10,2
padosoft/laravel-uploadable,CODE,1,2021-01,1
padosoft/laravel-uploadable,CODE,1,2021-02,1
padosoft/laravel-uploadable,NON_CODE,1,2021-02,1
padosoft/laravel-uploadable,CODE,1,2021-04,1
padosoft/laravel-uploadable,NON_CODE,1,2021-04,1
padosoft/laravel-uploadable,CODE,1,2021-06,1
pmatseykanets/laravel-scout-postgres,CODE,0,2016-09,10
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2016-09,1
pmatseykanets/laravel-scout-postgres,CODE,0,2016-10,4
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2016-10,1
pmatseykanets/laravel-scout-postgres,CODE,0,2016-12,6
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2016-12,2
pmatseykanets/laravel-scout-postgres,CODE,0,2017-01,39
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2017-01,8
pmatseykanets/laravel-scout-postgres,CODE,0,2017-02,2
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2017-02,7
pmatseykanets/laravel-scout-postgres,CODE,0,2017-04,1
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2017-05,2
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2017-06,1
pmatseykanets/laravel-scout-postgres,CODE,0,2017-09,3
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2017-09,7
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2017-10,1
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2018-01,2
pmatseykanets/laravel-scout-postgres,CODE,0,2018-02,16
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2018-02,10
pmatseykanets/laravel-scout-postgres,CODE,0,2018-03,9
